Asteroid,2024 ON.csv,2024 RN15.csv,2024 YR4.csv,2014 GL1.csv,2024 RO2.csv,2024 RJ16.csv,2024 SJ.csv,2022 QV1.csv,2024 SR4.csv,Ceres.csv
Obs. 1,0.06328,0.11999,0.63369,0.9994,0.15103,0.13108,0.09837,0.49995,0.2031,2.2869
Obs. 2,0.06267,0.11937,0.63355,0.9998,0.15027,0.13049,0.09809,0.50003,0.20211,2.2884
Obs. 3,0.05846,0.11533,0.63251,1.0023,0.14527,0.12667,0.09624,0.50042,0.19558,2.2981
Obs. 4,0.0583,0.11517,0.63247,1.0024,0.14508,0.12652,0.09617,0.50043,0.19534,2.2985
Obs. 5,0.05815,0.11501,0.63243,1.0025,0.14489,0.12638,0.0961,0.50045,0.19509,2.2988
Obs. 6,0.058,0.11486,0.6324,1.0026,0.1447,0.12623,0.09603,0.50047,0.19484,2.2992
Obs. 7,0.05302,0.1101,0.63117,1.0055,0.13881,0.12175,0.09386,0.50093,0.18715,2.3108
Obs. 8,0.05287,0.10994,0.63114,1.0056,0.13862,0.12161,0.09379,0.50094,0.18691,2.3112
Obs. 9,0.05272,0.10979,0.6311,1.0057,0.13843,0.12147,0.09373,0.50096,0.18667,2.3116
Obs. 10,0.04819,0.10555,0.62998,1.0082,0.13315,0.11748,0.0918,0.50135,0.17978,2.3222
Obs. 11,0.04803,0.1054,0.62994,1.0083,0.13297,0.11734,0.09173,0.50136,0.17953,2.3225
Obs. 12,0.04788,0.10525,0.62991,1.0084,0.13278,0.1172,0.09167,0.50138,0.17929,2.3229
Obs. 13,0.0432,0.1009,0.62873,1.0109,0.12736,0.11314,0.08972,0.50176,0.17223,2.334
Obs. 14,0.04305,0.10076,0.6287,1.0109,0.12717,0.113,0.08965,0.50178,0.17199,2.3343
Obs. 15,0.04289,0.10061,0.62866,1.011,0.12699,0.11286,0.08958,0.5018,0.17175,2.3347
