FITS_File,JD,Predicted_RA_deg,Predicted_DEC_deg,Detected,Centroid_X_px,Centroid_Y_px,Detected_RA_deg,Detected_DEC_deg,Uncertainty_px
015760_0000_2024_ON_REDUCED.fits,2460559.488310185,269.2285000000559,5.079583333575477,True,434.7229592999489,305.8273665017604,269.22846466124054,5.079512811920918,0.5
015760_0001_2024_ON_REDUCED.fits,2460559.488460648,269.2284819444854,5.079505092770164,True,434.4913589141602,305.5254112567789,269.22850936319,5.0794533598494604,0.5
015760_0002_2024_ON_REDUCED.fits,2460559.488611111,269.228463888915,5.079426851964852,True,434.6295764727485,305.9281958915705,269.2284693649087,5.079371677595411,0.5
015760_0003_2024_ON_REDUCED.fits,2460559.48875,269.22844722222595,5.079354629645772,True,435.014768762901,306.07433339382294,269.2284417758002,5.079319747896214,0.5
015760_0004_2024_ON_REDUCED.fits,2460559.488900463,269.2284291666555,5.07927638884046,True,435.250558686261,306.5456557282496,269.22843953753676,5.079171171999223,0.5
015762_0000_2024_ON_REDUCED.fits,2460559.524456019,269.22566458329004,5.06000833292914,True,445.6299068133209,352.76683983905826,269.2256644917678,5.059953276302014,0.5
015762_0001_2024_ON_REDUCED.fits,2460559.524606482,269.22565555551085,5.059924073656842,True,445.79735556861726,352.5479901922639,269.2256404351055,5.059870326808591,0.5
015762_0002_2024_ON_REDUCED.fits,2460559.524756944,269.2256465278155,5.059839815166854,True,446.1908407073794,352.8767832772572,269.225622584548,5.059759632725148,0.5
015762_0003_2024_ON_REDUCED.fits,2460559.524895833,269.2256381944766,5.059762037336922,True,446.0347535927344,353.19736542735274,269.22563408764586,5.05969516394218,0.5
015762_0004_2024_ON_REDUCED.fits,2460559.525046296,269.2256291666974,5.059677778064625,True,446.24035960327234,353.4682859187689,269.2256149949298,5.059614534936162,0.5
015765_0000_2024_ON_REDUCED.fits,2460559.541608796,269.22446875002794,5.050597222482992,True,447.6086528982024,377.4715512545292,269.2245030777725,5.050497659879716,0.5
015765_0001_2024_ON_REDUCED.fits,2460559.541759259,269.2244597222427,5.050512963154194,True,447.48435550873234,376.9100439137772,269.2244639525684,5.050453428669574,0.5
015765_0002_2024_ON_REDUCED.fits,2460559.541909722,269.2244506944575,5.050428703825396,True,447.3309022894386,377.18282514681033,269.22445557875176,5.050359474798009,0.5
015765_0003_2024_ON_REDUCED.fits,2460559.542048611,269.224442361113,5.05035092594331,True,447.1588743275251,377.6767501236241,269.22445756941386,5.050278804657457,0.5
015765_0004_2024_ON_REDUCED.fits,2460559.542199074,269.2244333333557,5.050266666875283,True,447.1698256340677,377.6503618146021,269.22443714951754,5.050186820657273,0.5
015767_0000_2024_ON_REDUCED.fits,2460559.568252315,269.2229118055537,5.035871296278911,True,452.2624734853599,413.9239529280349,269.2228845936118,5.035864005735339,0.5
015767_0001_2024_ON_REDUCED.fits,2460559.568402778,269.22290277776847,5.035787036950113,True,452.1885011180332,414.0456185154399,269.22291718503624,5.035759014703883,0.5
015767_0002_2024_ON_REDUCED.fits,2460559.568541666,269.22289444447983,5.035709259589568,True,452.3917968476365,414.79433856677366,269.22288812235126,5.035599947323005,0.5
015767_0003_2024_ON_REDUCED.fits,2460559.56869213,269.2228854166387,5.0356249997392295,True,452.2542718925121,414.734665247008,269.2228598668681,5.03557628137093,0.5
015767_0004_2024_ON_REDUCED.fits,2460559.568842593,269.2228763888535,5.035540740410431,True,452.45009897614136,415.1618720716924,269.2228275512926,5.035407763163022,0.5
015769_0000_2024_ON_REDUCED.fits,2460559.598796296,269.22175,5.018794444653061,True,457.1671177202616,458.9000127459906,269.2217958138987,5.018724462377978,0.5
015769_0001_2024_ON_REDUCED.fits,2460559.598935185,269.22175,5.018716666770975,True,457.262491980897,458.8641971968706,269.2217414207412,5.018630091459888,0.5
015769_0002_2024_ON_REDUCED.fits,2460559.599085648,269.22175,5.018632407442177,True,457.06433532228993,459.0927367446501,269.22176477061254,5.0185564309368,0.5
015769_0003_2024_ON_REDUCED.fits,2460559.599236111,269.22175,5.0185481481133785,True,457.7359327303247,459.4260358111853,269.2216834198164,5.0184577838433855,0.5
015769_0004_2024_ON_REDUCED.fits,2460559.599386574,269.22175,5.018463889045351,True,457.5021096670628,459.9131474952804,269.22174169635696,5.018356045388244,0.5
015772_0000_2024_ON_REDUCED.fits,2460559.630497685,269.22154166666667,5.000902777777778,True,451.67112171752086,507.97231182242064,269.2215347480875,5.000856934176216,0.5
015772_0001_2024_ON_REDUCED.fits,2460559.630648148,269.22154166666667,5.000818518709751,True,450.69632294155656,508.22813701282496,269.2215140497557,5.000683881703508,0.5
015772_0002_2024_ON_REDUCED.fits,2460559.630798611,269.22154166666667,5.000734259380953,True,450.4779584044271,508.3729483882439,269.22153848986403,5.0006494185456285,0.5
015772_0003_2024_ON_REDUCED.fits,2460559.6309375,269.22154166666667,5.000656481498866,True,450.8324257494031,508.5067272400448,269.2215029726718,5.000564499083038,0.5
015772_0004_2024_ON_REDUCED.fits,2460559.631087963,269.22154166666667,5.000572222170068,True,450.8538286871813,509.0053693963148,269.2214974980085,5.000468295762572,0.5
015775_0000_2024_ON_REDUCED.fits,2460559.664849537,269.2225923611125,4.981304629616591,True,444.86331658016303,557.1293823089621,269.22247332331085,4.981452940763894,0.5
015775_0001_2024_ON_REDUCED.fits,2460559.665,269.2226013888917,4.981220370344293,False,,,,,
015775_0002_2024_ON_REDUCED.fits,2460559.665150463,269.2226104166709,4.981136111071995,False,,,,,
015775_0003_2024_ON_REDUCED.fits,2460559.665289352,269.22261875000976,4.981058333242063,True,443.0485948851,558.3922490009243,269.2226240941299,4.981032907772204,0.5
015775_0004_2024_ON_REDUCED.fits,2460559.665439815,269.22262777776103,4.980974074230536,True,443.5145107880983,558.8520487793835,269.22256015834785,4.9809032056384295,0.5
